Date/Time,Tb_dead,Model_temp
28/11/18 13:50,36,40
28/11/18 13:55,36,39.5
28/11/18 14:00,36,39.5
28/11/18 14:05,36,40
28/11/18 14:10,35.5,40
28/11/18 14:15,35.5,40
28/11/18 14:20,35.5,39.5
28/11/18 14:25,35.5,39.5
28/11/18 14:30,35.5,39.5
28/11/18 14:35,35,39
28/11/18 14:40,35,38.5
28/11/18 14:45,35,38.5
28/11/18 14:50,35,38
28/11/18 14:55,35,38
28/11/18 15:00,35,38
28/11/18 15:05,35,38
28/11/18 15:10,35,38
28/11/18 15:15,34.5,38
28/11/18 15:20,34.5,38
28/11/18 15:25,34.5,38
28/11/18 15:30,34.5,38
28/11/18 15:35,34.5,38
28/11/18 15:40,34.5,38
28/11/18 15:45,34.5,37.5
28/11/18 15:50,34.5,37.5
28/11/18 15:55,34.5,37.5
28/11/18 16:00,34.5,37.5
28/11/18 16:05,34.5,38
28/11/18 16:10,34.5,38
28/11/18 16:15,34.5,38.5
28/11/18 16:20,34.5,38.5
28/11/18 16:25,34.5,39
28/11/18 16:30,34.5,39
28/11/18 16:35,34.5,39
28/11/18 16:40,34.5,39
28/11/18 16:45,34.5,39
28/11/18 16:50,34.5,39
28/11/18 16:55,34.5,38.5
28/11/18 17:00,34,38.5
28/11/18 17:05,34,38.5
28/11/18 17:10,34,38.5
28/11/18 17:15,34,39
28/11/18 17:20,34,39
28/11/18 17:25,34,39
28/11/18 17:30,34,38.5
28/11/18 17:35,34,38.5
28/11/18 17:40,34,38
28/11/18 17:45,34,37.5
28/11/18 17:50,34,37
28/11/18 17:55,34,37
28/11/18 18:00,33.5,36.5
28/11/18 18:05,33.5,36.5
28/11/18 18:10,33.5,36
28/11/18 18:15,33.5,35.5
28/11/18 18:20,33,35
28/11/18 18:25,33,34.5
28/11/18 18:30,33,34.5
28/11/18 18:35,32.5,34
28/11/18 18:40,32.5,34
28/11/18 18:45,32.5,34
28/11/18 18:50,32.5,33.5
28/11/18 18:55,32,33
28/11/18 19:00,32,33
28/11/18 19:05,32,32.5
28/11/18 19:10,32,32
28/11/18 19:15,31.5,31
28/11/18 19:20,31.5,30.5
28/11/18 19:25,31.5,30
28/11/18 19:30,31,29.5
28/11/18 19:35,31,29
28/11/18 19:40,31,29
28/11/18 19:45,30.5,28.5
28/11/18 19:50,30.5,28.5
28/11/18 19:55,30.5,28
28/11/18 20:00,30,28
28/11/18 20:05,30,27.5
28/11/18 20:10,30,27.5
28/11/18 20:15,29.5,28
28/11/18 20:20,29.5,28
28/11/18 20:25,29.5,28.5
28/11/18 20:30,29.5,28.5
28/11/18 20:35,29,28.5
28/11/18 20:40,29,28.5
28/11/18 20:45,29,28.5
28/11/18 20:50,29,28.5
28/11/18 20:55,29,28.5
28/11/18 21:00,29,28.5
28/11/18 21:05,28.5,28.5
28/11/18 21:10,28.5,28.5
28/11/18 21:15,28.5,28.5
28/11/18 21:20,28.5,28.5
28/11/18 21:25,28.5,28
28/11/18 21:30,28.5,28
28/11/18 21:35,28,28
28/11/18 21:40,28,28
28/11/18 21:45,28,28
28/11/18 21:50,28,27.5
28/11/18 21:55,28,27.5
28/11/18 22:00,28,27.5
28/11/18 22:05,27.5,27.5
28/11/18 22:10,27.5,27.5
28/11/18 22:15,27.5,27.5
28/11/18 22:20,27.5,27.5
28/11/18 22:25,27.5,27.5
28/11/18 22:30,27.5,27
28/11/18 22:35,27,27
28/11/18 22:40,27,27
28/11/18 22:45,27,26.5
28/11/18 22:50,27,26.5
28/11/18 22:55,27,26.5
28/11/18 23:00,27,26
28/11/18 23:05,27,26
28/11/18 23:10,26.5,25.5
28/11/18 23:15,26.5,25.5
28/11/18 23:20,26.5,25.5
28/11/18 23:25,26.5,25.5
28/11/18 23:30,26.5,25.5
28/11/18 23:35,26.5,25
28/11/18 23:40,26.5,24.5
28/11/18 23:45,26,24.5
28/11/18 23:50,26,24.5
28/11/18 23:55,26,24
29/11/18 00:00,26,23.5
29/11/18 00:05,26,23.5
29/11/18 00:10,26,23.5
29/11/18 00:15,25.5,23.5
29/11/18 00:20,25.5,23.5
29/11/18 00:25,25.5,23.5
29/11/18 00:30,25.5,23.5
29/11/18 00:35,25.5,23.5
29/11/18 00:40,25,24
29/11/18 00:45,25,24
29/11/18 00:50,25,24.5
29/11/18 00:55,25,24.5
29/11/18 01:00,25,25
29/11/18 01:05,25,25
29/11/18 01:10,25,25.5
29/11/18 01:15,25,25.5
29/11/18 01:20,25,25.5
29/11/18 01:25,25,25.5
29/11/18 01:30,25,26
29/11/18 01:35,24.5,26
29/11/18 01:40,25,26
29/11/18 01:45,24.5,26
29/11/18 01:50,24.5,26
29/11/18 01:55,24.5,26
29/11/18 02:00,25,26
29/11/18 02:05,25,26
29/11/18 02:10,24.5,26
29/11/18 02:15,24.5,26
29/11/18 02:20,24.5,26
29/11/18 02:25,24.5,26
29/11/18 02:30,24.5,26
29/11/18 02:35,24.5,26
29/11/18 02:40,24.5,26
29/11/18 02:45,24.5,25.5
29/11/18 02:50,24.5,25.5
29/11/18 02:55,24.5,25.5
29/11/18 03:00,24.5,25.5
29/11/18 03:05,24.5,25.5
29/11/18 03:10,24.5,25.5
29/11/18 03:15,24.5,25.5
29/11/18 03:20,24.5,25
29/11/18 03:25,24.5,24.5
29/11/18 03:30,24.5,24.5
29/11/18 03:35,24.5,24.5
29/11/18 03:40,24.5,24.5
29/11/18 03:45,24.5,24.5
29/11/18 03:50,24.5,24.5
29/11/18 03:55,24.5,24.5
29/11/18 04:00,24.5,24.5
29/11/18 04:05,24.5,24
29/11/18 04:10,24.5,24.5
29/11/18 04:15,24.5,24.5
29/11/18 04:20,24.5,24.5
29/11/18 04:25,24.5,24.5
29/11/18 04:30,24,24.5
29/11/18 04:35,24,24.5
29/11/18 04:40,24,24.5
29/11/18 04:45,24,24.5
29/11/18 04:50,24,24
