"","POVI","Date","HR","Tb_predict","Tb_obs"
"3749","POVI_30","2019-02-16",15,29.5,31.5
"3750","POVI_30","2019-02-16",16,42.3,37
"3751","POVI_30","2019-02-16",17,42,39
"3752","POVI_30","2019-02-16",18,37.8,37
"3753","POVI_30","2019-02-16",19,36.5,34
"3754","POVI_30","2019-02-16",20,35.9,33.5
"3755","POVI_30","2019-02-16",21,34.7,32.5
"3756","POVI_30","2019-02-16",22,33.3,31.5
"3757","POVI_30","2019-02-16",23,31.6,30
"3758","POVI_30","2019-02-17",0,30.7,29
"3759","POVI_30","2019-02-17",1,30,28
"3760","POVI_30","2019-02-17",2,30.4,28
"3761","POVI_30","2019-02-17",3,30.8,28.5
"3762","POVI_30","2019-02-17",4,29.8,28
"3763","POVI_30","2019-02-17",5,28.6,27
"3764","POVI_30","2019-02-17",6,28.9,26
"3765","POVI_30","2019-02-17",7,32.6,28
"3766","POVI_30","2019-02-17",8,35.7,32
"3767","POVI_30","2019-02-17",9,41.8,35.5
"3768","POVI_30","2019-02-17",10,40.4,37.5
"3769","POVI_30","2019-02-17",11,40.5,37.5
"3770","POVI_30","2019-02-17",12,40.4,37.5
"3771","POVI_30","2019-02-17",13,40.7,38
"3772","POVI_30","2019-02-17",14,40.9,38
"3773","POVI_30","2019-02-17",15,41.2,38.5
"3774","POVI_30","2019-02-17",16,41.5,39
"3775","POVI_30","2019-02-17",17,39.1,37
"3776","POVI_30","2019-02-17",18,37.9,36
"3777","POVI_30","2019-02-17",19,35.6,34
"3778","POVI_30","2019-02-17",20,35.1,32.5
"3779","POVI_30","2019-02-17",21,33.1,32
"3780","POVI_30","2019-02-17",22,31.8,30.5
"3781","POVI_30","2019-02-17",23,29.9,29
"3782","POVI_30","2019-02-18",0,28.3,27
"3783","POVI_30","2019-02-18",1,27.9,26
"3784","POVI_30","2019-02-18",2,27.7,25.5
"3785","POVI_30","2019-02-18",3,26.6,25
"3786","POVI_30","2019-02-18",4,26.1,24.5
"3787","POVI_30","2019-02-18",5,25.4,24
"3788","POVI_30","2019-02-18",6,32.5,24.5
"3789","POVI_30","2019-02-18",7,41.8,33.5
"3790","POVI_30","2019-02-18",8,38.6,35.5
"3791","POVI_30","2019-02-18",9,39.7,35.5
"3792","POVI_30","2019-02-18",10,40.8,37.5
"3793","POVI_30","2019-02-18",11,40.8,37
"3794","POVI_30","2019-02-18",12,41,37
"3795","POVI_30","2019-02-18",13,43,37.5
"3796","POVI_30","2019-02-18",14,42.6,39.5
"3797","POVI_30","2019-02-18",15,42.3,39
"3798","POVI_30","2019-02-18",16,43.9,39
"3799","POVI_30","2019-02-18",17,44.5,42
"3800","POVI_30","2019-02-18",18,42.3,40.5
"3801","POVI_30","2019-02-18",19,39.8,38.5
"3802","POVI_30","2019-02-18",20,37.7,36.5
"3803","POVI_30","2019-02-18",21,36,34.5
"3804","POVI_30","2019-02-18",22,34.5,33
"3805","POVI_30","2019-02-18",23,33.4,31.5
"3806","POVI_30","2019-02-19",0,34.3,31.5
"3807","POVI_30","2019-02-19",1,34,31
"3808","POVI_30","2019-02-19",2,33.1,31
"3809","POVI_30","2019-02-19",3,31.8,29.5
"3810","POVI_30","2019-02-19",4,31.6,29
"3811","POVI_30","2019-02-19",5,30.3,28.5
"3812","POVI_30","2019-02-19",6,35.1,28
"3813","POVI_30","2019-02-19",7,35.5,32
"3814","POVI_30","2019-02-19",8,36.9,33.5
"3815","POVI_30","2019-02-19",9,39.4,36
"3816","POVI_30","2019-02-19",10,40.6,37
"3817","POVI_30","2019-02-19",11,42.1,38.5
"3818","POVI_30","2019-02-19",12,43.7,39.5
"3819","POVI_30","2019-02-19",13,44.5,40.5
"3820","POVI_30","2019-02-19",14,44.3,41
"3821","POVI_30","2019-02-19",15,45,41.5
"3822","POVI_30","2019-02-19",16,44.5,42
"3823","POVI_30","2019-02-19",17,42.2,41
"3824","POVI_30","2019-02-19",18,40.2,39
"3825","POVI_30","2019-02-19",19,38.1,36.5
"3826","POVI_30","2019-02-19",20,36.5,34.5
"3827","POVI_30","2019-02-19",21,34.9,33
"3828","POVI_30","2019-02-19",22,33.3,31.5
"3829","POVI_30","2019-02-19",23,31.8,30
"3830","POVI_30","2019-02-20",0,30.2,28.5
"3831","POVI_30","2019-02-20",1,29,27.5
"3832","POVI_30","2019-02-20",2,27.6,26
"3833","POVI_30","2019-02-20",3,26.5,24.5
"3834","POVI_30","2019-02-20",4,25.4,24
"3835","POVI_30","2019-02-20",5,24.9,23
"3836","POVI_30","2019-02-20",6,26.7,22.5
"3837","POVI_30","2019-02-20",7,30.3,27.5
"3838","POVI_30","2019-02-20",8,34.7,31.5
"3839","POVI_30","2019-02-20",9,37.1,31
"3840","POVI_30","2019-02-20",10,34.4,31
"3841","POVI_30","2019-02-20",11,35.6,32.5
